Temperature,RH,Rain,DC,FWI,FWI/FFMC,(DMC/FWI)/ISI,FWI/BUI,month_07,month_08,month_09,Classes_not fire
28,79,0.0,46.3,0.9,0.012295081967213115,0.0728744939271255,0.07142857142857144,0,0,0,1
33,70,0.0,71.5,8.8,0.10304449648711944,0.09147609147609148,0.3928571428571429,1,0,0,0
31,71,0.0,99.0,16.3,0.18671248568155785,0.050693537351495926,0.35053763440860214,1,0,0,0
34,58,0.0,61.1,13.0,0.14755959137343927,0.06405834236720213,0.4693140794223827,1,0,0,0
30,77,1.8,8.4,0.3,0.005128205128205128,0.1435406698564593,0.125,0,0,1,1
29,74,1.1,8.2,0.3,0.0050420168067226885,0.07978723404255318,0.06521739130434782,0,0,1,1
33,78,0.0,18.5,1.7,0.02122347066167291,0.13687600644122383,0.2982456140350877,1,0,0,1
36,61,0.3,90.4,4.2,0.05236907730673317,0.12820512820512822,0.23863636363636362,0,1,0,0
32,47,0.7,8.8,0.9,0.011612903225806452,0.07042253521126761,0.1323529411764706,0,0,1,1
32,54,0.5,30.4,0.7,0.009497964721845317,0.07383966244725737,0.07291666666666667,0,0,1,1
29,73,0.1,15.7,0.5,0.007309941520467836,0.18796992481203006,0.1724137931034483,0,0,1,1
34,64,0.0,171.3,20.9,0.23509561304836893,0.057338820301783264,0.4106090373280943,0,1,0,0
33,64,0.0,106.3,13.7,0.15410573678290213,0.0739301710647024,0.4228395061728395,0,0,1,0
37,37,0.0,86.8,26.3,0.2788971367974549,0.04578690807799443,0.7325905292479109,0,1,0,0
35,63,0.0,77.0,12.1,0.1361079865016873,0.0785357305121049,0.4745098039215686,0,1,0,0
31,67,0.0,22.2,2.5,0.030266343825665863,0.13904338153503895,0.35714285714285715,0,0,0,0
35,64,0.2,40.4,3.2,0.04,0.11782032400589104,0.2644628099173554,1,0,0,1
34,61,0.6,22.9,0.8,0.010825439783491203,0.07326007326007328,0.09523809523809523,1,0,0,1
37,40,0.0,55.5,15.7,0.17083786724700759,0.06518850689254276,0.7040358744394618,0,1,0,0
39,45,0.6,10.4,4.7,0.05516431924882629,0.0990307627475769,0.43119266055045874,1,0,0,0
35,56,0.0,115.6,15.2,0.17078651685393256,0.06893424036281179,0.4222222222222222,0,0,1,0
31,83,0.0,33.1,7.3,0.0863905325443787,0.08006141697740732,0.3802083333333333,1,0,0,0
35,55,0.0,67.0,11.6,0.13048368953880762,0.08427782621331006,0.5296803652968036,0,1,0,0
30,41,0.0,22.5,10.0,0.11185682326621924,0.0895094880057286,0.7633587786259542,0,0,0,0
33,37,0.0,167.2,30.3,0.3286334056399132,0.03773208971022254,0.4734375,0,1,0,0
29,87,0.0,28.3,3.2,0.04,0.09685230024213076,0.2711864406779661,1,0,0,1
29,57,0.0,7.6,0.5,0.0076103500761035,0.11312217194570136,0.14705882352941177,0,0,0,1
36,54,0.0,110.9,16.1,0.18008948545861297,0.0829896907216495,0.5854545454545456,0,1,0,0
36,54,0.0,177.3,26.1,0.28681318681318685,0.03960546282245827,0.38382352941176473,0,1,0,0
32,60,0.3,47.0,2.6,0.0337224383916991,0.10458567980691874,0.1843971631205674,0,1,0,1
29,41,0.1,86.0,5.6,0.06674612634088199,0.08329614755317566,0.19377162629757785,0,0,1,0
34,59,0.0,47.2,10.9,0.12372304199772986,0.07553707553707553,0.558974358974359,1,0,0,0
29,68,1.0,8.6,0.4,0.00667779632721202,0.14545454545454545,0.13793103448275862,1,0,0,1
24,82,0.4,7.3,0.0,0.0,0.0,0.0,0,0,1,1
30,78,0.5,7.8,0.4,0.006779661016949153,0.08695652173913045,0.09090909090909091,0,0,0,1
35,51,0.3,75.1,4.2,0.05166051660516605,0.10769230769230771,0.2028985507246377,0,1,0,1
31,78,0.3,8.0,0.2,0.00351493848857645,0.15037593984962408,0.08333333333333334,0,0,0,1
34,56,2.9,9.5,0.8,0.010695187165775402,0.07042253521126761,0.11764705882352942,1,0,0,1
31,55,0.1,16.0,1.4,0.017521902377972465,0.12444444444444444,0.2641509433962264,0,0,0,1
32,48,0.0,90.1,25.4,0.27759562841530055,0.04353489647607295,0.5772727272727273,1,0,0,0
32,68,1.4,9.2,0.6,0.009009009009009009,0.07083825265643447,0.08108108108108107,1,0,0,1
32,49,0.0,33.1,7.7,0.08612975391498881,0.11554621848739496,0.6814159292035398,0,0,1,0
32,81,0.0,42.3,7.7,0.09101654846335698,0.07764444892608652,0.368421052631579,1,0,0,0
31,68,0.0,43.1,6.0,0.0702576112412178,0.10779734099892203,0.4225352112676057,1,0,0,0
26,49,2.0,28.1,0.4,0.0065252854812398045,0.056022408963585436,0.03361344537815126,0,0,1,1
38,43,0.5,35.4,5.2,0.0611764705882353,0.09756097560975611,0.3795620437956205,1,0,0,0
31,50,0.6,41.4,2.8,0.03598971722365039,0.11006289308176101,0.21705426356589144,0,0,1,1
36,48,0.0,108.5,15.3,0.16943521594684385,0.07921714818266544,0.5204081632653061,1,0,0,0
32,55,0.0,88.5,13.9,0.15600448933782268,0.07172342621259031,0.46801346801346805,0,0,0,0
37,55,0.0,67.2,14.5,0.16237402015677493,0.061731023032057554,0.5123674911660777,1,0,0,0
35,63,0.3,10.0,0.8,0.010443864229765015,0.0825593395252838,0.14545454545454548,0,1,0,1
36,62,0.0,34.5,9.5,0.1082004555808656,0.08225108225108226,0.5792682926829269,0,0,0,0
22,76,8.3,7.0,0.1,0.0021097046413502112,0.22727272727272727,0.0625,0,0,1,1
25,78,1.4,7.5,0.1,0.0022222222222222222,0.2631578947368421,0.04166666666666667,0,0,1,1
26,82,13.1,7.1,0.1,0.0021231422505307855,0.13333333333333333,0.037037037037037035,0,0,0,1
35,68,0.0,130.6,16.8,0.19026047565118914,0.07371007371007371,0.484149855907781,0,1,0,0
40,34,0.0,21.4,13.5,0.14469453376205788,0.09057971014492754,1.2735849056603774,0,1,0,0
33,26,0.0,59.2,19.3,0.2055378061767838,0.06411108158384268,0.8616071428571429,0,0,1,0
36,45,0.0,10.2,0.9,0.011421319796954316,0.09375,0.19148936170212766,0,1,0,1
39,21,0.4,41.5,18.8,0.2021505376344086,0.0659186535764376,1.0217391304347827,0,1,0,0
39,64,1.2,15.9,0.7,0.009485094850948509,0.054390054390054385,0.06140350877192982,1,0,0,1
33,65,0.1,62.1,4.0,0.04914004914004914,0.11614401858304298,0.24242424242424243,1,0,0,0
27,79,0.7,7.3,0.3,0.0056179775280898875,0.09374999999999999,0.04918032786885246,0,0,0,1
27,87,0.5,7.9,0.2,0.004357298474945534,0.14285714285714285,0.05882352941176471,0,0,1,1
30,54,3.1,9.1,0.8,0.011347517730496455,0.05594405594405595,0.0761904761904762,0,1,0,1
28,80,16.8,8.7,0.3,0.005714285714285714,0.05747126436781609,0.03614457831325301,0,1,0,1
27,77,0.0,14.2,0.5,0.00771604938271605,0.1388888888888889,0.12820512820512822,0,0,0,1
30,77,1.0,8.4,0.2,0.0035650623885918006,0.1360544217687075,0.07692307692307693,0,0,1,1
31,72,0.2,8.0,0.3,0.0049833887043189366,0.09868421052631578,0.08108108108108107,0,0,0,1
28,51,1.3,7.4,0.8,0.011204481792717087,0.06926406926406926,0.10958904109589042,0,0,0,1
35,47,6.0,9.7,3.0,0.03712871287128713,0.09874917709019089,0.3191489361702127,1,0,0,0
31,42,0.0,30.5,16.7,0.18432671081677704,0.06847629981958339,0.9277777777777777,0,0,0,0
31,52,0.0,24.3,5.9,0.06727480045610035,0.14868951612903225,0.7662337662337663,0,0,1,0
34,58,0.0,36.8,9.9,0.1125,0.09099264705882354,0.7021276595744681,1,0,0,0
27,59,0.1,14.7,1.9,0.024327784891165175,0.09313725490196079,0.22891566265060237,0,0,0,1
31,78,0.0,190.6,13.7,0.15967365967365968,0.0639231056364315,0.23992994746059543,0,1,0,0
22,86,10.1,7.0,0.0,0.0,0.0,0.0,0,0,1,1
29,87,0.4,8.0,0.1,0.0021097046413502112,0.11904761904761904,0.02439024390243903,0,0,0,1
33,59,0.8,8.3,0.8,0.01078167115902965,0.07142857142857142,0.11940298507462686,0,0,0,1
32,73,0.0,127.0,11.9,0.1374133949191686,0.07958801498127342,0.34,1,0,0,0
35,64,0.0,145.7,15.7,0.180045871559633,0.07237691314770422,0.3810679611650485,1,0,0,0
30,65,0.0,15.7,0.8,0.010243277848911653,0.13157894736842105,0.19047619047619047,0,0,1,1
33,46,1.1,8.3,1.2,0.01532567049808429,0.07797270955165692,0.15584415584415584,0,0,0,1
24,54,0.1,15.2,0.7,0.00878293601003764,0.09575923392612859,0.13725490196078433,0,0,1,1
33,66,0.0,27.9,4.9,0.0570430733410943,0.13432017543859653,0.5384615384615385,1,0,0,0
28,80,3.1,7.4,0.1,0.0020242914979757085,0.08333333333333333,0.03333333333333333,0,0,0,1
28,81,0.0,41.5,5.7,0.0673758865248227,0.10520487264673312,0.3986013986013986,0,0,1,0
32,75,0.0,39.1,6.8,0.07870370370370369,0.10059171597633136,0.47887323943661975,0,1,0,0
28,78,0.1,79.7,1.3,0.018571428571428572,0.0967261904761905,0.08843537414965986,1,0,0,1
31,71,0.3,30.1,0.6,0.008620689655172414,0.12499999999999999,0.11764705882352941,0,0,1,1
36,56,0.0,57.1,13.2,0.1484814398200225,0.06763681082188973,0.5546218487394957,1,0,0,0
25,78,3.8,7.5,0.0,0.0,0.0,0.0,0,0,1,1
31,69,4.7,8.0,0.4,0.006430868167202572,0.09324009324009325,0.10526315789473685,0,0,0,1
35,58,0.2,19.7,1.0,0.01277139208173691,0.057870370370370364,0.09345794392523366,1,0,0,1
35,62,0.0,120.9,17.2,0.19239373601789708,0.07643085673658018,0.5495207667731629,0,1,0,0
33,82,0.0,200.2,13.2,0.15547703180212014,0.06382978723404253,0.22259696458684655,0,1,0,0
29,88,0.0,16.6,0.5,0.007042253521126761,0.16025641025641024,0.13513513513513511,0,0,1,1
32,69,0.0,48.6,8.0,0.09248554913294797,0.093841642228739,0.46511627906976744,0,1,0,0
31,64,0.0,63.8,8.4,0.09688581314878893,0.1037805782060786,0.45901639344262296,0,0,0,0
25,88,0.2,38.8,0.3,0.005671077504725898,0.09493670886075947,0.02857142857142857,0,0,0,1
